order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDB00661,2018-08-12,15:26:11,Lunch,TP,"[('Chicken', 4), ('Steak', 1)]",173.0,-37.8157318,144.9897365,0,9.84,14.3984529
ORDZ05194,2018-01-11,08:20:16,Breakfast,NS,"[('Coffee', 8), ('Pancake', 2), ('Cereal', 1), ('Eggs', 2)]",173.5,-37.8151994,144.9636889,1,8.147,6.5950639
ORDA03779,2018-03-01,09:51:32,Breakfast,BK,"[('Cereal', 4), ('Pancake', 7)]",253.75,-37.7989598,144.9842738,0,6.552,11.2320987
ORDX05677,2018-11-13,18:28:43,Dinner,BK,"[('Salmon', 5), ('Shrimp', 9)]",691.0,-37.8215407,144.9449527,0,7.748,16.3472575
ORDJ08501,2018-07-23,14:45:38,Lunch,TP,"[('Chicken', 10), ('Salad', 8), ('Steak', 1), ('Fries', 8), ('Burger', 5)]",753.6,-37.8251007,145.0134021,0,11.621,14.1617179
ORDA06447,2018-10-17,17:38:01,Dinner,BK,"[('Fish&Chips', 10), ('Pasta', 10)]",625.0,-37.814971,144.9751389,0,6.704,13.8753824
ORDB04309,2018-10-31,17:58:18,Dinner,TP,"[('Salmon', 1), ('Pasta', 1), ('Shrimp', 5)]",338.5,-37.8209026,144.9623358,0,7.333,11.808455
ORDJ04731,2018-10-16,17:27:53,Dinner,TP,"[('Salmon', 4), ('Shrimp', 6)]",488.0,-37.8204958,144.9916339,0,9.781,14.2117421
ORDC01724,2018-10-08,17:17:44,Dinner,NS,"[('Pasta', 1), ('Coffee', 6), ('Shrimp', 8), ('Fish&Chips', 2)]",775.5,-37.8156873,144.9581489,0,8.531,14.2777781
ORDJ00284,2018-03-27,10:42:15,Breakfast,TP,"[('Coffee', 1), ('Eggs', 6), ('Cereal', 4)]",223.5,-37.8071361,144.9594576,0,7.526,11.3781127
ORDX02715,2018-05-07,12:13:31,Lunch,BK,"[('Salad', 10), ('Chicken', 7), ('Fries', 10), ('Burger', 3)]",609.0,37.80503,144.9307406,0,10.859,17.1224432
ORDX09761,09-02-2018,09:10:59,Breakfast,BK,"[('Eggs', 9), ('Pancake', 2), ('Cereal', 5), ('Coffee', 6)]",396.5,-37.8109273,144.9670828,0,7.208,12.1507276
ORDC09109,2018-10-20,17:38:01,Dinner,NS,"[('Salmon', 8), ('Shrimp', 10), ('Fish&Chips', 7)]",216.0,-37.8051604,144.9602013,0,7.456,15.6481852
ORDC09124,2018-10-28,17:58:18,Dinner,NS,"[('Shrimp', 9), ('Salmon', 9)]",855.0,-37.8211496,144.9918618,0,9.653,17.9586864
ORDY01396,2018-10-11,17:17:44,Dinner,TP,"[('Pasta', 8), ('Shrimp', 8), ('Fish&Chips', 8)]",932.0,-37.8121636,144.9532908,0,8.973,13.3457973
ORDK02384,2018-07-02,13:54:55,Lunch,BK,"[('Burger', 4), ('Fries', 10), ('Chicken', 5), ('Salad', 9), ('Cereal', 10)]",1008.8,-37.8122663,144.9549714,0,8.227,14.4739981
ORDJ10658,2018-05-08,12:13:31,Lunch,TP,"[('Burger', 9), ('Fries', 5), ('Chicken', 10)]",659.0,-37.8149873,144.9395623,0,10.202,13.5984643
ORDX07334,2018-06-02,13:04:13,Lunch,BK,"[('Steak', 6), ('Burger', 4), ('Chicken', 8)]",650.0,-37.815866,144.9724123,0,6.945,15.1256768
ORDK08403,2018-08-28,15:56:37,Lunch,BK,"[('Steak', 1), ('Burger', 1), ('Salad', 4), ('Chicken', 5)]",165.0,-37.8207336,144.9567356,0,8.445,14.2480598
ORDJ10290,2018-08-13,15:26:11,Lunch,tp,"[('Fries', 7), ('Chicken', 6), ('Burger', 5), ('Salad', 10), ('Steak', 9)]",1008.0,-37.8205124,144.9660448,0,7.412,11.0008823
ORDX04549,2018-08-16,15:26:11,Lunch,BK,"[('Chicken', 3), ('Burger', 6)]",282.0,-37.8109953,145.000582,0,4.119,9.907922
ORDA08880,2018-07-01,13:54:55,Lunch,BK,"[('Fries', 7), ('Burger', 1)]",115.0,-37.8154518,144.966669,0,7.508,15.9450158
ORDY09064,2018-04-01,10:52:23,Breakfast,TP,"[('Coffee', 6), ('Pancake', 2), ('Eggs', 5)]",253.75,-37.819316,144.9790347,0,8.706,12.6443465
ORDK03752,2018-05-15,12:23:39,Breakfast,BK,"[('Salad', 4), ('Burger', 10), ('Steak', 10), ('Fries', 8)]",924.8,-37.8145119,144.9697962,0,7.215,13.4593164
ORDK10502,02-02-2018,09:00:50,Breakfast,BK,"[('Cereal', 9), ('Coffee', 5)]",226.5,-37.8197643,145.0127968,0,4.369,8.4931655
ORDI07256,2018-03-30,10:52:23,Breakfast,NS,"[('Coffee', 8), ('Pancake', 4), ('Cereal', 2), ('Eggs', 1)]",221.0,-37.8102835,144.9614249,0,7.638,12.6380149
ORDJ11010,2018-03-01,09:51:32,Breakfast,TP,"[('Pancake', 5), ('Eggs', 2), ('Cereal', 5), ('Coffee', 10)]",345.25,-37.8135859,145.0120655,0,12.196,14.1719745
ORDA06266,2018-04-23,11:43:05,Breakfast,BK,"[('Cereal', 3), ('Coffee', 6), ('Eggs', 4), ('Pancake', 8)]",390.0,-37.8190181,144.9526176,0,8.879,13.9391367
ORDK00452,2018-08-10,15:16:03,Lunch,BK,"[('Fries', 10), ('Chicken', 8)]",376.0,-37.8172428,144.9516426,0,9.657,15.7406057
ORDJ02849,2018-06-16,13:24:30,Lunch,TP,"[('Steak', 3), ('Fries', 2)]",159.0,-37.8138626,145.0093266,0,7.95,16.5656388
