order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDI01983,2018-12-30,20:00:00,Dinner,NS,"[('Pasta', 4), ('Salmon', 3), ('Shrimp', 3), ('Fish&Chips', 5)]",570.0,-37.8062923,144.9596444,0,7.621,15.3092243
ORDK06481,2018-05-02,12:03:22,Lunch,BK,"[('Salad', 6), ('Fries', 10), ('Chicken', 5), ('Steak', 1), ('Burger', 3)]",521.2,-37.8062153,144.9595345,0,7.741,13.2741254
ORDK03076,2018-01-22,08:40:33,Breakfast,BK,"[('Eggs', 9), ('Cereal', 4)]",282.0,-37.8027963,144.9749412,0,6.941,11.7573042
ORDY06170,2018-04-21,11:32:57,Breakfast,TP,"[('Cereal', 1), ('Coffee', 3)]",43.5,-37.8197258,144.9696551,0,7.664,11.5461339
ORDA03318,2018-02-17,09:31:16,Breakfast,BK,"[('Eggs', 7), ('Cereal', 9)]",343.0,-37.8041425,144.9498345,0,8.874,16.8030156
ORDB11039,2018-09-02,16:06:45,Dinner,TP,"[('Salmon', 10), ('Pasta', 8)]",630.0,-37.8119519,144.9706032,0,8.682,14.1387552
ORDZ10871,2018-08-23,15:46:28,Lunch,NS,"[('Burger', 1), ('Salad', 3), ('Steak', 2), ('Fries', 2), ('Chicken', 5)]",356.6,-37.8232709,144.9885267,0,9.437,22.6381689
ORDJ03124,2018-06-24,13:44:47,Lunch,TP,"[('Fries', 10), ('Salad', 8)]",257.6,-37.8105443,144.9459926,0,9.737,14.1903024
ORDA00267,2018-02-03,09:00:50,Breakfast,BK,"[('Cereal', 6), ('Pancake', 4)]",223.0,-37.8216112,144.9613432,0,8.236,15.8385828
ORDZ05867,2018-12-03,19:09:17,Dinner,NS,"[('Salmon', 1), ('Shrimp', 2), ('Fish&Chips', 10)]",499.0,-37.8161066,144.9640479,0,8.259,14.1862756
ORDC11037,2018-11-30,18:59:09,Dinner,NS,"[('Salmon', 2), ('Shrimp', 1), ('Pasta', 10), ('Fish&Chips', 1)]",446.0,-37.8028541,145.0036311,0,9.26,15.273898
ORDK01846,2018-10-06,17:17:44,Dinner,BK,"[('Fish&Chips', 1), ('Pasta', 7)]",227.5,-37.8114598,144.9833055,0,5.787,14.9621375
ORDY05609,2018-06-03,13:04:13,Lunch,TP,"[('Fries', 1), ('Chicken', 5), ('Burger', 4), ('Steak', 6), ('Salad', 8)]",703.6,-37.8164201,144.970951,0,8.071,13.171683
ORDB09004,2018-05-23,12:43:56,Lunch,TP,"[('Salad', 3), ('Steak', 2), ('Chicken', 7), ('Burger', 10)]",675.6,-37.815195,144.9896394,0,9.992,12.9987188
ORDB07965,2018-08-25,15:46:28,Lunch,TP,"[('Salad', 2), ('Chicken', 2), ('Steak', 9)]",503.4,-37.8150106,144.9695624,0,8.198,12.8887932
ORDZ08877,2018-11-09,18:18:35,Dinner,NS,"[('Shrimp', 8), ('Salmon', 4), ('Pasta', 3)]",678.5,-37.803444,145.0109935,0,10.017,16.3954234
ORDC00048,2018-11-07,18:18:35,Dinner,NS,"[('Salmon', 8), ('Pasta', 9), ('Fish&Chips', 8), ('Shrimp', 7)]",1233.5,-37.8091486,144.9609023,0,7.716,14.0393461
ORDZ00954,2018-03-28,10:52:23,Breakfast,NS,"[('Cereal', 5), ('Eggs', 1), ('Coffee', 6)]",172.0,-37.7988344,144.9542646,0,7.594,12.7166311
ORDI09161,2018-08-17,15:36:20,Lunch,NS,"[('Burger', 5), ('Salad', 7)]",275.4,-37.8087588,144.942034,0,9.954,15.6659493
ORDA08121,2018-10-14,17:27:53,Dinner,BK,"[('Salmon', 3), ('Pasta', 6), ('Shrimp', 9)]",774.0,-37.8113965,144.9379083,0,10.044,19.7273605
ORDB04508,2018-11-19,18:38:52,Dinner,TP,"[('Fish&Chips', 7), ('Salmon', 6)]",491.0,-37.8239102,144.9901857,0,9.48,13.5375408
ORDY05212,2018-11-06,18:08:27,Dinner,TP,"[('Salmon', 3), ('Shrimp', 10)]",663.0,-37.8151872,144.9635228,0,7.906,12.1642541
ORDY08600,2018-03-21,10:32:06,Breakfast,TP,"[('Cereal', 4), ('Coffee', 10)]",159.0,-37.8140793,144.9601084,0,8.343,11.298578
